1;Su;-15.3;-5.7;0;(null);0.0;E;120;11:16;-9.9;85;(null);E;76;961.1;-8.9;78;7;ESE;54;964.2;
2;Mo;-11.9;-0.8;0;(null);0.0;E;63;03:04;-7.6;55;7;SSE;31;968.4;-8.1;67;7;SSE;17;967.4;
3;Tu;-10.0;-0.5;3.6;(null);0.8;E;107;11:40;-3.6;74;7;NNE;22;969.9;-3.5;90;7;E;65;974.2;
4;We;-4.6;-0.1;0;(null);0.0;E;156;10:05;-3.8;80;8;E;106;974.6;-5.0;59;6;SE;26;983.1;
5;Th;-6.8;-3.8;0;(null);2.1;E;100;01:04;-3.9;54;6;NE;13;991.5;-9.5;61;5;S;17;993.9;
6;Fr;-14.0;-9.3;0;(null);6.0;SSE;35;11:08;-9.8;41;0;NE;6;988.8;-11.7;58;1;ENE;4;986.2;
7;Sa;-18.2;-13.1;0;(null);0.9;SSE;41;15:36;-14.4;48;7;SE;13;986.8;-18.2;56;5;S;28;984.5;
8;Su;-20.0;-13.9;0;(null);4.3;SSW;22;05:33;-16.3;58;5;NE;13;986.4;-17.6;60;7;NE;15;985.5;
9;Mo;-19.5;-14.1;0;(null);0.9;NE;46;20:35;-15.3;78;7;NE;7;981.6;-17.2;73;7;SSE;9;981.7;
10;Tu;-18.9;-8.4;0;(null);0.0;ENE;41;21:26;-15.3;52;7;SSE;19;988.2;-16.1;62;5;S;7;987.7;
11;We;-17.2;-8.3;0;(null);0.0;SE;22;03:21;-8.5;82;7;E;9;993.5;-9.3;76;7;NE;6;992.5;
12;Th;-15.7;-13.9;0;(null);1.9;NE;44;16:48;-15.7;75;1;NNE;17;980.9;-15.0;85;7;NE;35;977.7;
13;Fr;-16.4;-13.5;0;(null);0.0;ENE;50;03:32;-14.3;71;7;ENE;26;977.1;-15.0;69;7;ENE;24;979.9;
14;Sa;-15.9;-13.1;0;(null);0.0;ENE;33;01:13;-13.5;74;8;NE;11;989.6;-13.8;75;8;E;15;990.9;
15;Su;-19.9;-16.8;0;(null);1.2;SE;24;04:06;-17.9;74;7;NE;11;987.1;-18.6;66;5;NE;9;985.4;
16;Mo;-21.5;-10.3;0;(null);0.0;SSE;30;12:57;-18.0;79;8;SE;9;989.1;-18.3;83;7;S;11;990.7;
17;Tu;-20.3;-2.1;0;(null);0.0;E;102;17:20;-13.9;74;7;SE;19;988.9;-5.6;67;8;SE;28;987.5;
18;We;-14.4;-1.9;0;(null);0.0;E;96;09:30;-4.0;65;8;SSE;44;985.4;-6.9;55;7;SE;31;985.0;
19;Th;-15.1;-5.2;0;(null);3.2;SSE;33;01:35;-12.7;72;2;ESE;9;983.3;-9.6;60;3;E;7;981.4;
20;Fr;-15.7;-5.6;0;(null);0.0;E;59;02:36;-9.1;67;7;SSE;17;971.7;-7.2;61;7;E;9;972.5;
21;Sa;-9.3;-2.7;0;(null);0.0;SE;100;22:33;-6.8;64;7;SE;11;980.5;-4.9;50;7;SSW;17;978.5;
22;Su;-10.7;-2.2;0.6;(null);0.0;SE;96;03:38;-6.2;91;7;S;20;952.6;-4.7;70;7;NNE;7;956.0;
23;Mo;-15.7;-9.4;2.0;(null);0.0;NNE;43;07:52;-15.7;82;1;NNE;9;982.4;-11.7;88;6;SSE;20;987.3;
24;Tu;-16.8;-7.3;0;(null);0.0;NNE;26;08:28;-13.1;88;8;NNE;17;984.4;-17.4;84;1;SSW;6;988.0;
25;We;-18.7;2.0;0;(null);0.0;ENE;126;18:28;-11.7;66;7;SSE;13;973.3;-2.2;74;8;SSE;35;962.2;
26;Th;-12.3;-1.2;0.4;(null);0.0;ENE;161;10:52;-1.9;94;6;ENE;120;952.6;-5.3;93;7;NNE;31;970.7;
27;Fr;-11.9;-3.6;0.6;(null);0.0;ENE;59;11:10;-6.9;91;7;E;37;1002.4;-6.2;87;7;SSE;11;1003.6;
28;Sa;-11.2;-6.4;0;(null);0.0;ESE;46;05:28;-8.8;63;6;SSE;17;988.6;-8.8;66;2;SE;22;983.0;
29;Su;-12.6;(null);0;(null);(null);(null);(null);(null);-10.0;90;7;NNE;20;975.7;-14.6;87;8;SSE;11;974.5;
